,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4029,5,3991,46,1,,0,63,70397,,0,0,0,5,0,113,74790,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4034,5,3976,34,1,,0,38,80620,,0,0,1,5,-999999,8,84913,5,184,85097,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4280,5,3720,28,1,,0,15,90592,,0,0,1,5,-999999,12,95135,5,288,95423,bigwinleft.bmp,left,TrialProc,TrialList,12,targetleft.bmp,left,300,3,1,3,10
3,4204,4,3806,49,1,,0,72,100714,,0,0,0,4,0,21,105190,,0,0,nowinright.bmp,right,TrialProc,TrialList,12,targetright.bmp,right,290,4,1,4,0
4,4080,4,3920,10,1,,0,34,110836,,0,0,1,4,-999999,12,115179,4,274,115453,bigwinright.bmp,right,TrialProc,TrialList,22,targetright.bmp,right,300,5,1,5,10
5,4333,5,3667,27,1,,0,41,120892,,0,0,1,5,-999999,9,125485,5,215,125700,nowinleft.bmp,left,TrialProc,TrialList,22,targetleft.bmp,left,300,6,1,6,0
6,4040,4,3970,16,1,,0,40,130897,,0,0,1,4,-999999,2,135190,4,263,135453,smallwinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,290,7,1,7,2
7,4180,4,3840,42,1,,0,18,140919,,0,0,1,4,-999999,12,145362,4,256,145618,nowinright.bmp,right,TrialProc,TrialList,24,targetright.bmp,right,280,8,1,8,0
8,4380,5,3650,40,1,,0,8,150974,,0,0,1,5,-999999,13,155618,5,198,155816,bigwinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,270,9,1,9,10
9,4220,5,3820,11,1,,0,10,160980,,0,0,1,5,-999999,5,165456,5,236,165692,nowinleft.bmp,left,TrialProc,TrialList,34,targetleft.bmp,left,260,10,1,10,0
10,4253,4,3797,17,1,,0,6,171002,,0,0,1,4,-999999,6,175512,4,227,175739,smallwinright.bmp,right,TrialProc,TrialList,36,targetright.bmp,right,250,11,1,11,2
