,Ant_time,CorrectAnswer,Fix_time,J_time,PicturePrime.ACC,PicturePrime.CRESP,PicturePrime.DurationError,PicturePrime.OnsetDelay,PicturePrime.OnsetTime,PicturePrime.RESP,PicturePrime.RT,PicturePrime.RTTime,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.DurationError,PictureTarget.OnsetDelay,PictureTarget.OnsetTime,PictureTarget.RESP,PictureTarget.RT,PictureTarget.RTTime,Prime,PrimePosition,Procedure,Running,SumPrize,Target,TargetPosition,Target_time,TrialList,TrialList.Cycle,TrialList.Sample,prize
0,4125,4,3895,50,1,,0,29,103804,,0,0,0,4,0,17,108197,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,0,targetleft.bmp,left,280,1,1,1,10
1,4009,4,4001,48,1,,0,16,113926,,0,0,1,4,-999999,16,118202,4,200,118402,smallwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,290,2,1,2,2
2,4396,4,3604,14,1,,0,19,123932,,0,0,0,4,0,13,128592,,0,0,bigwinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,300,3,1,3,10
3,4178,5,3822,47,1,,0,20,133987,,0,0,1,5,-999999,31,138447,5,212,138659,nowinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,4,1,4,0
4,4069,5,3931,22,1,,0,20,144009,,0,0,0,5,0,6,148335,,0,0,bigwinright.bmp,right,TrialProc,TrialList,2,targetright.bmp,right,300,5,1,5,10
5,4348,4,3652,36,1,,0,28,154081,,0,0,1,4,-999999,11,158691,4,294,158985,nowinleft.bmp,left,TrialProc,TrialList,2,targetleft.bmp,left,300,6,1,6,0
6,4226,5,3774,11,1,,0,31,164170,,0,0,1,5,-999999,16,168663,5,255,168918,smallwinright.bmp,right,TrialProc,TrialList,4,targetright.bmp,right,300,7,1,7,2
7,4225,5,3775,35,1,,0,6,174175,,0,0,1,5,-999999,2,178653,5,167,178820,nowinright.bmp,right,TrialProc,TrialList,4,targetright.bmp,right,300,8,1,8,0
8,4288,4,3712,42,1,,0,14,184113,,0,0,1,4,-999999,5,188657,4,181,188838,bigwinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,300,9,1,9,10
9,4087,4,3923,47,1,,0,8,194068,,0,0,1,4,-999999,5,198411,4,218,198629,nowinleft.bmp,left,TrialProc,TrialList,14,targetleft.bmp,left,290,10,1,10,0
10,4434,5,3586,14,1,,0,19,204090,,0,0,1,5,-999999,9,208784,5,177,208961,smallwinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,280,11,1,11,2
11,4305,5,3725,18,1,,0,19,214045,,0,0,1,5,-999999,4,218605,5,184,218789,nowinright.bmp,right,TrialProc,TrialList,16,targetright.bmp,right,270,12,1,12,0
12,4184,4,3856,43,1,,0,14,224017,,0,0,1,4,-999999,8,228460,4,252,228712,bigwinleft.bmp,left,TrialProc,TrialList,26,targetleft.bmp,left,260,13,1,13,10
13,4144,5,3906,44,1,,0,7,234089,,0,0,1,5,-999999,15,238499,5,197,238696,smallwinright.bmp,right,TrialProc,TrialList,28,targetright.bmp,right,250,14,1,14,2
14,4228,4,3822,33,1,,0,6,244111,,0,0,0,4,0,14,248604,,0,0,nowinleft.bmp,left,TrialProc,TrialList,28,targetleft.bmp,left,250,15,1,15,0
