,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,121593,126053,126272,280,3868,4152,47,1,5,5,10,10,5,41,219,left,46
1,2,131715,136391,136624,270,3626,4404,32,1,5,5,2,12,5,5,233,left,37
2,3,141786,146247,146461,260,3852,4188,10,1,5,5,10,22,5,5,214,left,18
3,4,151841,156234,156476,250,3962,4088,44,1,4,4,0,22,4,37,242,right,57
4,5,161996,166540,166776,250,3793,4257,32,1,4,4,10,32,4,19,236,right,39
5,6,172152,176745,176973,250,3734,4316,33,1,5,5,0,32,5,10,228,left,69
6,7,182240,186667,186893,250,3895,4155,40,1,4,4,2,34,4,5,226,right,34
7,8,192312,196755,0,250,3884,4166,40,0,4,,0,34,4,10,0,right,10
8,9,202417,207060,0,250,3684,4366,45,0,5,,10,34,5,10,0,left,10
9,10,212538,217299,217507,250,3576,4474,10,1,5,5,0,34,5,19,208,left,21
10,11,222593,227004,227225,250,3913,4137,21,1,4,4,2,36,4,6,221,right,23
11,12,232648,237075,237252,250,3903,4147,35,1,4,4,0,36,4,12,177,right,12
12,13,242670,247230,0,250,3775,4275,10,0,5,,10,36,5,18,0,left,15
13,14,252775,257084,257329,250,4023,4027,14,1,4,4,2,38,4,15,245,right,23
14,15,262863,267473,267706,250,3713,4337,33,1,5,5,0,38,5,5,233,left,19
15,16,272952,277628,277829,250,3659,4391,20,1,5,5,2,40,5,18,201,left,17
16,17,283007,287767,287967,250,3568,4482,15,1,4,4,0,40,4,11,200,right,14
17,18,293045,297688,297927,250,3686,4364,50,1,5,5,2,42,5,12,239,left,19
18,19,303150,307726,307952,250,3746,4304,26,1,4,4,10,52,4,5,226,right,17
19,20,313222,317731,317944,250,3825,4225,15,1,5,5,2,54,5,17,213,left,25
20,21,323293,327619,327846,250,4008,4042,34,1,4,4,0,54,4,17,227,right,35
21,22,333382,337992,338208,250,3712,4338,18,1,5,5,2,56,5,5,216,left,17
22,23,343437,347829,348036,250,3936,4114,17,1,4,4,10,66,4,11,207,right,16
23,24,353475,358236,358483,250,3561,4489,40,1,4,4,2,68,4,5,247,right,17
24,25,363563,368257,368478,250,3632,4418,22,1,5,5,10,78,5,9,221,left,10
25,26,373618,378378,378584,250,3567,4483,42,1,4,4,0,78,4,10,206,right,11
26,27,383673,388183,388378,250,3815,4235,28,1,5,5,10,88,5,8,195,left,8
27,28,393711,398055,398304,250,3979,4071,40,1,5,5,2,90,5,5,249,left,22
28,29,403816,408493,408717,250,3650,4400,22,1,4,4,0,90,4,9,224,right,10
29,30,413871,418465,418663,250,3729,4321,35,1,5,5,0,90,5,5,198,left,11
30,31,423926,428319,0,250,3934,4116,29,0,4,,10,90,4,10,0,right,15
31,32,434031,438641,438849,250,3719,4331,25,1,5,5,2,92,5,11,208,left,21
32,33,444070,448629,448836,250,3775,4275,18,1,4,4,10,102,4,17,207,right,9
33,34,454124,458668,458908,250,3791,4259,47,1,4,4,0,102,4,17,240,right,15
34,35,464246,468873,469075,250,3709,4341,22,1,4,4,2,104,4,18,202,right,20
35,36,474301,479061,479265,250,3572,4478,20,1,5,5,10,114,5,15,204,left,11
36,37,484339,488949,0,250,3728,4322,19,0,4,,0,114,4,20,0,right,12
37,38,494428,498855,0,250,3895,4155,25,0,4,,2,114,4,5,0,right,15
38,39,504516,509176,509399,250,3673,4377,47,1,4,4,10,124,4,16,223,right,8
39,40,514621,519365,0,250,3589,4461,35,0,5,,0,124,5,16,0,left,20
40,41,524726,529186,529398,250,3863,4187,41,1,5,5,10,134,5,5,212,left,14
41,42,534781,539491,539705,250,3619,4431,10,1,5,5,2,136,5,12,214,left,9
42,43,544819,549296,0,250,3846,4204,15,0,5,,0,136,5,5,0,left,23
43,44,554908,559434,559675,250,3797,4253,28,1,4,4,0,136,4,6,241,right,19
44,45,564996,569372,569598,250,3954,4096,39,1,5,5,2,138,5,13,226,left,22
45,46,575068,579411,579603,250,3989,4061,10,1,4,4,0,138,4,15,192,right,11
46,47,585089,589599,589834,250,3827,4223,46,1,4,4,2,140,4,19,235,right,23
47,48,595211,599821,600045,250,3722,4328,31,1,5,5,0,140,5,15,224,left,21
48,49,605283,609776,609982,250,3836,4214,16,1,4,4,2,142,4,12,206,right,19
49,50,615321,619614,619833,250,4038,4012,48,1,5,5,0,142,5,14,219,left,17
50,51,625409,629969,630204,250,3776,4274,13,1,4,4,10,152,4,18,235,right,18
51,52,635498,639840,640066,250,3983,4067,18,1,5,5,2,154,5,8,226,left,21
52,53,645553,649845,650063,250,4045,4005,49,1,5,5,10,164,5,20,218,left,16
53,54,655658,660284,0,250,3710,4340,16,0,5,,0,164,5,19,0,left,18
54,55,665763,670222,670431,250,3871,4179,45,1,4,4,10,174,4,13,209,right,18
55,56,675834,680177,0,250,3995,4055,15,0,5,,2,174,5,20,0,left,21
56,57,685940,690232,690443,250,4045,4005,41,1,4,4,10,184,4,20,211,right,19
57,58,696011,700437,700641,250,3904,4146,42,1,4,4,2,186,4,13,204,right,9
58,59,706066,710409,710640,250,3982,4068,41,1,5,5,10,196,5,8,231,left,8
59,60,716138,720798,720995,250,3670,4380,26,1,4,4,2,198,4,13,197,right,9
60,61,726176,730569,730777,250,3941,4109,42,1,5,5,0,198,5,17,208,left,24
61,62,736248,740624,740819,250,3960,4090,18,1,4,4,10,208,4,19,195,right,8
62,63,746286,750929,751136,250,3692,4358,34,1,5,5,0,208,5,18,207,left,15
63,64,756358,761051,761233,250,3635,4415,31,1,5,5,10,218,5,11,182,left,17
64,65,766379,770805,771031,250,3911,4139,48,1,4,4,10,228,4,20,226,right,19
65,66,776484,781178,781386,250,3641,4409,19,1,4,4,2,230,4,18,208,right,19
