,TrialList,PicturePrime.OnsetTime,PictureTarget.OnsetTime,PictureTarget.RTTime,Target_time,Fix_time,Ant_time,J_time,PictureTarget.ACC,PictureTarget.CRESP,PictureTarget.RESP,prize,SumPrize,CorrectAnswer,PictureTarget.OnsetDelay,PictureTarget.RT,TargetPosition,PicturePrime.OnsetDelay
0,1,103804,108197,0,280,3895,4125,50,0,4,,10,0,4,17,0,left,29
1,2,113926,118202,118402,290,4001,4009,48,1,4,4,2,2,4,16,200,left,16
2,3,123932,128592,0,300,3604,4396,14,0,4,,10,2,4,13,0,left,19
3,4,133987,138447,138659,300,3822,4178,47,1,5,5,0,2,5,31,212,right,20
4,5,144009,148335,0,300,3931,4069,22,0,5,,10,2,5,6,0,right,20
5,6,154081,158691,158985,300,3652,4348,36,1,4,4,0,2,4,11,294,left,28
6,7,164170,168663,168918,300,3774,4226,11,1,5,5,2,4,5,16,255,right,31
7,8,174175,178653,178820,300,3775,4225,35,1,5,5,0,4,5,2,167,right,6
8,9,184113,188657,188838,300,3712,4288,42,1,4,4,10,14,4,5,181,left,14
9,10,194068,198411,198629,290,3923,4087,47,1,4,4,0,14,4,5,218,left,8
10,11,204090,208784,208961,280,3586,4434,14,1,5,5,2,16,5,9,177,right,19
11,12,214045,218605,218789,270,3725,4305,18,1,5,5,0,16,5,4,184,right,19
12,13,224017,228460,228712,260,3856,4184,43,1,4,4,10,26,4,8,252,left,14
13,14,234089,238499,238696,250,3906,4144,44,1,5,5,2,28,5,15,197,right,7
14,15,244111,248604,0,250,3822,4228,33,0,4,,0,28,4,14,0,left,6
15,16,254183,258443,258627,250,4047,4003,41,1,4,4,2,30,4,6,184,left,17
16,17,264205,268916,269088,250,3594,4456,38,1,5,5,0,30,5,4,172,right,9
17,18,274210,278520,278765,250,3999,4051,13,1,4,4,2,32,4,8,245,left,12
18,19,284249,288893,289028,250,3672,4378,29,1,5,5,10,42,5,15,135,right,4
19,20,294204,298631,298812,250,3886,4164,43,1,4,4,2,44,4,12,181,left,4
20,21,304226,308485,308694,250,4046,4004,18,1,5,5,0,44,5,4,209,right,24
21,22,314248,318975,319177,250,3589,4461,27,1,4,4,2,46,4,15,202,left,15
22,23,324270,328630,328816,250,3947,4103,33,1,5,5,10,56,5,6,186,right,6
23,24,334292,338785,338950,250,3822,4228,13,1,5,5,2,58,5,14,165,right,17
24,25,344247,348991,349183,250,3561,4489,17,1,4,4,10,68,4,4,192,left,4
25,26,354252,358595,358752,250,3964,4086,21,1,5,5,0,68,5,6,157,right,16
26,27,364224,368951,369118,250,3585,4465,43,1,4,4,10,78,4,11,167,left,12
27,28,374229,378856,379076,250,3683,4367,37,1,4,4,2,80,4,9,220,left,7
28,29,384285,388761,388951,250,3842,4208,40,1,5,5,0,80,5,17,190,right,13
29,30,394307,398883,399097,250,3739,4311,50,1,4,4,0,80,4,14,214,left,9
30,31,404362,408922,409130,250,3743,4307,22,1,5,5,10,90,5,2,208,right,17
31,32,414384,418910,0,250,3791,4259,47,0,4,,2,90,4,16,0,left,12
